Highest Charting Position,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms)
137,0.732,0.604,-7.472,0.0443,0.0112,0.219,139.982,195429
10,0.311,0.607,-6.578,0.11,0.0174,0.131,188.7,168086
20,0.66,0.817,-6.269,0.0521,0.162,0.0667,135.942,277592
42,0.484,0.103,-14.075,0.0627,0.979,0.0895,124.011,199931
63,0.503,0.548,-7.564,0.164,0.0751,0.145,94.036,228920
33,0.538,0.512,-4.548,0.0262,0.22,0.101,144.978,204632
100,0.759,0.538,-8.256,0.384,0.151,0.126,146.933,184490
94,0.88,0.575,-6.091,0.163,0.415,0.109,120.031,232048
37,0.823,0.821,-3.402,0.166,0.31,0.143,99.999,213314
9,0.595,0.543,-8.149,0.038,0.127,0.0975,99.928,174406
150,0.615,0.422,-8.019,0.0504,0.604,0.112,135.859,214094
33,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803
18,0.399,0.491,-10.778,0.0538,0.0563,0.11,91.066,210463
137,0.443,0.509,-5.995,0.0536,0.615,0.472,160.984,196380
62,0.311,0.485,-5.726,0.0365,0.701,0.0726,77.355,208827
7,0.652,0.383,-7.076,0.0516,0.0676,0.0828,145.765,178994
6,0.667,0.719,-5.371,0.0346,0.00285,0.0736,100.021,237520
101,0.74,0.613,-4.88,0.145,0.258,0.123,75.023,166606
193,0.616,0.576,-5.495,0.0532,0.0723,0.375,89.962,182121
19,0.782,0.559,-7.106,0.0767,0.125,0.385,129.992,188344
197,0.612,0.28,-8.648,0.0434,0.932,0.088,72.795,213827
73,0.772,0.758,-3.891,0.0482,0.0433,0.295,115.977,265240
177,0.734,0.637,-5.677,0.141,0.0462,0.0602,169.977,202333
72,0.953,0.621,-7.638,0.221,0.017,0.0398,123.016,152333
75,0.851,0.703,-7.351,0.303,0.00949,0.0895,74.017,242600
8,0.627,0.792,-4.311,0.031,0.13,0.0845,119.054,235767
107,0.758,0.763,-8.754,0.0768,0.23,0.0703,163.946,155210
186,0.593,0.932,-2.324,0.0526,0.302,0.133,171.977,147876
3,0.392,0.574,-9.195,0.17,0.833,0.145,81.112,214707
104,0.691,0.631,-6.478,0.0368,0.0483,0.104,92.004,161124
18,0.641,0.324,-5.851,0.0299,0.698,0.328,110.184,185487
43,0.754,0.646,-5.795,0.317,0.152,0.108,176.089,242573
52,0.632,0.773,-4.856,0.0346,0.0623,0.0885,130.033,231124
54,0.569,0.741,-4.963,0.0282,0.0122,0.333,100.118,241592
68,0.761,0.899,-3.09,0.183,0.0135,0.0719,95.027,217587
80,0.559,0.646,-4.61,0.0272,0.116,0.32,95.466,294419
84,0.402,0.732,-4.665,0.0484,0.0033,0.108,161.032,243137
51,0.589,0.496,-7.606,0.0377,0.818,0.101,142.731,220839
93,0.788,0.571,-6.135,0.0296,0.106,0.0934,115.99,254255
102,0.423,0.517,-7.377,0.0486,0.369,0.177,185.262,234516
114,0.598,0.821,-4.433,0.0447,0.0231,0.143,128.03,225328
119,0.506,0.626,-6.066,0.0287,0.156,0.228,148.035,263377
139,0.88,0.577,-8.093,0.302,0.0564,0.201,90.991,214440
146,0.588,0.608,-7.062,0.0365,0.225,0.092,90.201,189496
147,0.578,0.909,-3.669,0.0628,0.0222,0.333,100.023,200576
148,0.506,0.444,-4.99,0.0285,0.0538,0.123,133.873,261843
40,0.574,0.891,-3.665,0.157,0.0847,0.16,100.978,183240
15,0.793,0.771,-3.417,0.0959,0.0337,0.284,171.943,247308
192,0.563,0.473,-11.548,0.0503,0.514,0.109,101.934,208609
195,0.609,0.373,-8.819,0.0263,0.849,0.0779,106.007,244237
153,0.737,0.634,-4.25,0.0424,0.345,0.111,94.927,206360
132,0.413,0.64,-5.811,0.0427,0.273,0.11,75.245,243992
26,0.647,0.377,-6.003,0.0375,0.594,0.0768,79.936,207164
160,0.652,0.472,-8.084,0.0399,0.158,0.121,126.904,194890
88,0.905,0.647,-5.065,0.107,0.0187,0.282,130.97,190534
91,0.714,0.671,-5.119,0.362,0.289,0.325,169.732,229827
30,0.789,0.711,-4.248,0.041,0.0332,0.0876,112.985,190306
28,0.495,0.333,-10.109,0.0288,0.737,0.112,99.757,158324
2,0.597,0.45,-6.658,0.0418,0.223,0.382,178.765,228482
120,0.527,0.922,-2.666,0.0728,0.00475,0.422,95.975,181680
191,0.676,0.823,-4.386,0.102,0.242,0.0773,160.013,190680
75,0.397,0.613,-5.077,0.0549,0.0396,0.192,78.4,330040
193,0.739,0.756,-4.828,0.0394,0.0136,0.37,110.028,231387
50,0.601,0.741,-5.569,0.0478,0.185,0.415,153.96,153190
37,0.509,0.228,-8.68,0.0332,0.92,0.104,90.674,156468
140,0.904,0.723,-5.224,0.26,0.0631,0.185,145.013,227478
188,0.573,0.902,-7.638,0.054,0.018,0.0928,84.412,225280
45,0.862,0.72,-4.048,0.0379,0.487,0.0604,129.972,198707
128,0.664,0.659,-4.232,0.0873,0.0625,0.0874,175.826,157320
49,0.677,0.633,-7.831,0.0771,0.0314,0.112,89.934,187239
44,0.583,0.444,-8.601,0.0456,0.593,0.353,119.59,152796
3,0.803,0.715,-3.28,0.298,0.295,0.0574,101.085,200960
34,0.714,0.761,-4.596,0.0427,0.139,0.241,168.022,230693
61,0.79,0.724,-6.972,0.0852,0.0696,0.113,101.04,159250
181,0.444,0.648,-4.955,0.0476,0.288,0.059,125.706,189000
17,0.77,0.637,-5.53,0.345,0.103,0.171,94.966,383037
97,0.676,0.823,-4.386,0.102,0.242,0.0773,160.013,190680
105,0.738,0.85,-3.049,0.0642,0.105,0.23,98.013,192921
57,0.728,0.629,-6.629,0.0318,0.00196,0.0847,135.031,198426
64,0.679,0.587,-7.015,0.276,0.141,0.137,186.003,230453
22,0.659,0.701,-4.107,0.164,0.0882,0.0866,91.97,180520
181,0.764,0.794,-4.096,0.0589,0.663,0.34,110.013,173227
60,0.759,0.584,-6.655,0.06,0.0652,0.16,127.138,186696
74,0.714,0.833,-5.239,0.0259,0.00249,0.298,129.964,220920
152,0.493,0.263,-12.805,0.0351,0.926,0.0879,122.792,333710
82,0.763,0.621,-6.169,0.066,0.0105,0.106,82.042,211130
138,0.334,0.276,-13.125,0.0643,0.877,0.113,201.025,271177
37,0.691,0.739,-3.09,0.229,0.422,0.11,83.897,248345
40,0.813,0.526,-4.787,0.125,0.105,0.11,170.002,163320
25,0.824,0.457,-5.428,0.0543,0.167,0.041,87.977,187427
182,0.391,0.396,-8.621,0.189,0.702,0.315,99.112,131272
141,0.878,0.713,-4.566,0.0948,0.0581,0.0822,92.028,202373
109,0.787,0.641,-7.376,0.315,0.101,0.07,182.003,184134
121,0.616,0.741,-4.272,0.0426,0.00251,0.307,122.012,181720
56,0.723,0.646,-7.973,0.102,0.0206,0.0994,110.971,168649
12,0.716,0.512,-6.257,0.0331,0.483,0.0928,104.957,165907
168,0.632,0.922,-2.173,0.0794,0.00558,0.0927,88.972,137747
19,0.845,0.677,-4.798,0.136,0.269,0.108,90.013,219048
86,0.504,0.76,-4.246,0.0426,0.286,0.151,183.933,190218
6,0.787,0.673,-4.583,0.159,0.264,0.0904,110.962,237893
157,0.592,0.457,-6.081,0.0603,0.661,0.146,146.04,110886
149,0.64,0.74,-4.083,0.0284,0.0115,0.167,116.879,216320
109,0.773,0.819,-5.946,0.118,0.428,0.0679,92.987,269187
12,0.48,0.602,-6.335,0.368,0.487,0.0848,179.798,213333
123,0.52,0.903,-5.497,0.042,0.00517,0.254,74.988,219801
198,0.668,0.727,-6.55,0.027,0.514,0.1,139.991,344571
4,0.812,0.761,-5.222,0.0812,0.0465,0.0601,130.032,182956
200,0.637,0.912,-3.123,0.308,0.352,0.0657,116.919,234852
158,0.615,0.834,-5.471,0.0667,0.105,0.157,112.602,211411
64,0.751,0.744,-6.859,0.177,0.152,0.252,148.014,171892
166,0.53,0.37,-9.989,0.0279,0.806,0.112,140.061,206734
170,0.641,0.636,-4.318,0.0414,0.289,0.125,89.826,222667
54,0.817,0.737,-5.453,0.102,0.046,0.092,93.985,206587
175,0.784,0.529,-7.681,0.0742,0.683,0.118,134.041,187362
180,0.779,0.705,-5.891,0.163,0.00471,0.0971,140.005,192804
24,0.905,0.686,-3.152,0.0664,0.0907,0.266,103.013,155825
91,0.798,0.828,-5.36,0.193,0.0247,0.121,124.962,156960
152,0.585,0.471,-9.934,0.0616,0.0967,0.115,93.099,142000
61,0.611,0.797,-7.627,0.0533,0.00543,0.26,120.041,218107
112,0.628,0.639,-5.46,0.0435,0.00162,0.354,108.045,185773
74,0.47,0.709,-4.563,0.0299,0.00124,0.302,98.036,241360
38,0.698,0.708,-4.943,0.0454,0.0251,0.124,115.036,122174
42,0.823,0.723,-4.778,0.229,0.311,0.0998,83.97,198493
46,0.719,0.598,-6.254,0.077,0.232,0.115,142.592,126521
35,0.807,0.656,-4.395,0.105,0.0165,0.0693,83.943,185840
2,0.621,0.601,-5.616,0.148,0.0522,0.46,116.735,163636
83,0.585,0.52,-6.136,0.0712,0.124,0.131,159.801,218147
185,0.761,0.296,-10.22,0.0484,0.551,0.134,127.938,167867
80,0.752,0.488,-7.05,0.0705,0.297,0.0936,136.041,201661
33,0.883,0.6,-7.188,0.37,0.114,0.0931,113.903,156430
5,0.806,0.546,-6.637,0.0575,0.3,0.102,147.986,212867
49,0.744,0.619,-9.805,0.039,0.598,0.231,112.997,188387
176,0.614,0.379,-10.48,0.0476,0.607,0.0986,107.989,258987
140,0.806,0.565,-8.96,0.113,0.47,0.0824,116.963,195734
144,0.793,0.65,-3.944,0.397,0.371,0.854,128.111,243750
12,0.333,0.637,-4.904,0.0581,0.131,0.149,139.898,172693
50,0.557,0.457,-5.372,0.0335,0.428,0.0567,105.918,177500
62,0.794,0.756,-7.16,0.136,0.11,0.247,123.066,156498
173,0.679,0.61,-10.936,0.0305,0.585,0.156,123.978,227186
128,0.749,0.674,-5.128,0.0366,0.0209,0.169,123.055,153865
177,0.806,0.513,-6.208,0.0685,0.217,0.217,124.988,178157
37,0.734,0.775,-3.855,0.0614,0.186,0.123,166.039,224187
14,0.789,0.742,-5.664,0.0652,0.0681,0.166,116.965,167990
28,0.798,0.675,-5.041,0.0442,0.0912,0.0894,101.956,219947
14,0.715,0.706,-4.423,0.195,0.496,0.106,179.997,189840
83,0.65,0.655,-3.71,0.405,0.25,0.0691,94.059,171215
17,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,200482
22,0.848,0.637,-5.132,0.156,0.0413,0.0521,96.988,222680
151,0.709,0.816,-4.787,0.0346,0.685,0.146,150.06,237900
143,0.921,0.537,-5.723,0.0804,0.556,0.102,128.009,135090
182,0.781,0.445,-6.061,0.0295,0.474,0.184,78.998,281560
2,0.834,0.454,-9.75,0.201,0.321,0.114,81.618,247059
167,0.659,0.291,-8.275,0.0348,0.405,0.0771,119.829,277680
9,0.674,0.774,-7.567,0.0892,0.0686,0.393,112.05,176547
193,0.375,0.893,-4.097,0.0406,0.000509,0.187,174.323,258773
181,0.734,0.57,-7.066,0.133,0.847,0.112,129.953,95467
27,0.697,0.674,-6.326,0.0533,0.00215,0.138,81.535,157355
19,0.343,0.243,-14.66,0.0777,0.721,0.0668,135.154,203464
152,0.575,0.844,-4.89,0.072,0.00172,0.114,104.914,177801
157,0.705,0.769,-5.526,0.0425,0.113,0.105,107.949,213520
89,0.668,0.563,-6.433,0.0522,0.0493,0.119,103.116,169632
168,0.461,0.593,-4.954,0.0356,0.17,0.307,134.17,228373
14,0.705,0.814,-5.466,0.0346,0.00115,0.203,110,223279
175,0.859,0.558,-8.991,0.0902,0.659,0.124,114.978,144391
140,0.15,0.859,-2.827,0.0595,0.00201,0.387,170.527,228147
167,0.664,0.665,-3.616,0.0879,0.123,0.411,173.961,176970
162,0.885,0.561,-5.331,0.249,0.261,0.121,140.02,125143
18,0.537,0.746,-5.507,0.15,0.0236,0.156,170.062,198267
20,0.487,0.534,-5.664,0.0555,0.36,0.1,131.798,201882
138,0.553,0.586,-6.319,0.0362,0.697,0.0813,126.684,196373
174,0.957,0.437,-7.882,0.359,0.00402,0.219,130.058,137984
47,0.854,0.525,-4.426,0.214,0.819,0.146,97.054,197587
99,0.807,0.535,-6.519,0.349,0.191,0.125,156.013,125720
176,0.539,0.615,-8.746,0.252,0.173,0.144,163.924,214693
55,0.635,0.659,-7.499,0.116,0.242,0.105,96.855,163127
103,0.376,0.43,-6.585,0.0328,0.0902,0.0912,77.599,177323
45,0.834,0.663,-6.143,0.133,0.235,0.372,121.876,146523
83,0.505,0.657,-5.24,0.0318,0.373,0.126,196,178520
13,0.815,0.715,-4.65,0.207,0.3,0.091,176.007,345241
137,0.817,0.737,-5.453,0.102,0.046,0.092,93.985,206587
132,0.72,0.613,-6.899,0.0572,0.185,0.155,84.974,182199
90,0.657,0.54,-7.675,0.0287,0.662,0.123,136.97,161773
66,0.659,0.479,-6.79,0.2,0.152,0.268,163.882,155956
121,0.945,0.582,-8.357,0.0719,0.114,0.103,108.025,168906
42,0.653,0.667,-6.764,0.0423,0.154,0.107,104.181,213869
190,0.98,0.413,-11.052,0.101,0.671,0.17,119.993,180139
116,0.811,0.683,-2.028,0.241,0.46,0.128,176.037,190101
10,0.462,0.24,-12.077,0.0377,0.92,0.113,171.319,244000
37,0.755,0.578,-8.932,0.145,0.316,0.25,94.148,176960
73,0.613,0.631,-6.965,0.12,0.0663,0.169,149.992,158033
177,0.695,0.784,-6.564,0.0402,0.0889,0.0843,128.031,188581
108,0.655,0.726,-7.628,0.0796,0.334,0.232,160.064,150260
191,0.956,0.502,-5.995,0.213,0.0593,0.238,110.003,187000
41,0.637,0.69,-4.057,0.0405,0.00786,0.124,129.857,162399
6,0.654,0.707,-5.661,0.0664,0.00559,0.0873,127.97,194765
17,0.728,0.806,-3.766,0.0623,0.0531,0.153,168.084,217547
67,0.868,0.479,-6.687,0.445,0.703,0.102,133.928,115200
158,0.403,0.537,-6.628,0.031,0.59,0.112,69.877,202133
168,0.532,0.584,-5.254,0.0248,0.723,0.101,88.003,190680
53,0.466,0.786,-5.13,0.0328,0.417,0.125,203.903,210507
21,0.584,0.411,-7.147,0.0838,0.869,0.0955,169.934,217769
65,0.665,0.697,-4.819,0.154,0.427,0.599,94.053,216747
17,0.49,0.618,-5.655,0.104,0.0221,0.259,99.7,201600
188,0.62,0.869,-5.479,0.0462,0.615,0.131,126.019,216573
190,0.633,0.664,-5.037,0.0294,0.46,0.108,115.058,156747
117,0.582,0.937,-2.118,0.0858,0.449,0.684,168.096,166838
5,0.79,0.701,-4.81,0.365,0.0317,0.0311,159.972,177813
22,0.63,0.633,-7.088,0.0457,0.00776,0.0541,93.995,172762
76,0.868,0.693,-7.052,0.181,0.0597,0.106,114.999,156911
141,0.599,0.79,-4.352,0.386,0.0213,0.0778,100.119,201501
15,0.546,0.613,-7.589,0.0264,0.418,0.103,79.015,215627
13,0.878,0.525,-6.832,0.0578,0.183,0.0714,112.022,158571
171,0.934,0.707,-4.214,0.0646,0.437,0.0628,138.023,173913
66,0.687,0.792,-2.749,0.0452,0.191,0.167,100.015,214290
138,0.563,0.865,-5.277,0.16,0.0472,0.77,156.271,209413
61,0.843,0.836,-2.474,0.0695,0.0816,0.0532,94.018,205933
183,0.599,0.914,-2.415,0.0629,0.5,0.694,168.008,182977
49,0.712,0.556,-7.214,0.0531,0.084,0.527,90.494,193293
27,0.598,0.526,-8.659,0.0415,0.129,0.14,123.935,168387
68,0.657,0.88,-3.672,0.102,0.121,0.463,150.084,205493
158,0.614,0.937,-7.443,0.115,0.00161,0.103,84.98,105176
1,0.336,0.627,-7.463,0.0384,0.164,0.0708,150.273,241107
2,0.735,0.478,-12.472,0.0293,0.189,0.355,107.682,262960
3,0.525,0.621,-7.364,0.116,0.0489,0.294,191.9,204093
5,0.589,0.472,-8.749,0.0502,0.614,0.505,67.196,126267
7,0.754,0.424,-8.463,0.0363,0.643,0.0652,119.705,130973
6,0.339,0.214,-11.714,0.0375,0.908,0.341,94.775,206640
8,0.24,0.598,-8.435,0.0369,0.766,0.117,201.629,151933
9,0.509,0.812,-5.439,0.0537,0.00128,0.214,159.878,229640
14,0.513,0.831,-9.004,0.0383,0.55,0.336,148.837,182067
11,0.451,0.24,-14.014,0.0351,0.912,0.175,134.009,117147
19,0.652,0.259,-13.336,0.0595,0.903,0.362,142.169,155453
15,0.657,0.56,-9.049,0.0467,0.498,0.0794,161.993,182947
16,0.529,0.772,-7.013,0.0287,0.403,0.316,91.751,181267
17,0.599,0.642,-6.936,0.0363,0.164,0.0992,115.412,222533
23,0.774,0.511,-8.914,0.0319,0.322,0.0672,94.736,227653
21,0.647,0.465,-8.308,0.0428,0.865,0.0882,151.251,119787
24,0.321,0.64,-10.023,0.0324,0.28,0.718,146.172,214333
32,0.319,0.21,-15.231,0.0341,0.92,0.138,78.696,192160
39,0.317,0.158,-16.485,0.0381,0.673,0.338,130.503,177480
114,0.885,0.661,-5.062,0.141,0.165,0.334,140.028,164591
42,0.683,0.375,-13.056,0.0303,0.579,0.076,140.467,135533
47,0.271,0.551,-7.48,0.0457,0.582,0.256,78.111,272467
38,0.534,0.904,-3.315,0.0369,0.129,0.128,202.899,220160
62,0.465,0.27,-16.661,0.0425,0.9,0.145,94.518,129173
65,0.647,0.876,-5.662,0.185,0.881,0.26,151.925,162897
59,0.691,0.776,-4.177,0.0341,0.458,0.33,146.861,144080
52,0.685,0.391,-7.183,0.0435,0.744,0.142,87.101,202547
60,0.724,0.276,-12.25,0.0599,0.76,0.116,112.874,155933
69,0.325,0.759,-7.146,0.053,0.395,0.0773,126.627,166453
66,0.526,0.925,-5.584,0.0363,0.102,0.305,140.308,272394
54,0.619,0.589,-6.531,0.124,0.43,0.378,143.896,174960
166,0.632,0.953,-1.283,0.0325,0.317,0.125,160.061,186533
197,0.752,0.62,-5.536,0.0509,0.309,0.075,117.399,164459
71,0.666,0.841,-3.592,0.0312,0.613,0.113,128.706,126360
74,0.295,0.496,-9.478,0.0327,0.207,0.858,132.062,268521
83,0.438,0.178,-9.402,0.0414,0.957,0.316,75.248,170964
85,0.547,0.814,-6.191,0.12,0.0215,0.0475,92.986,205267
86,0.669,0.843,-3.766,0.0268,0.169,0.195,147.08,255400
89,0.583,0.572,-4.776,0.0366,0.738,0.266,113.998,173560
92,0.725,0.571,-6.007,0.102,0.0183,0.0519,146.035,200880
102,0.654,0.596,-4.68,0.0458,0.424,0.11,118.078,169245
104,0.635,0.87,-4.291,0.04,0.0156,0.118,93,156773
107,0.835,0.869,-4.582,0.27,0.248,0.462,140.945,224656
111,0.59,0.305,-12.955,0.032,0.894,0.14,102.103,86760
117,0.594,0.389,-7.109,0.0517,0.785,0.0313,122.331,171093
119,0.553,0.476,-8.869,0.0649,0.647,0.281,113.401,166147
22,0.575,0.434,-8.193,0.0312,0.735,0.105,145.916,229840
123,0.583,0.712,-8.222,0.0538,0.263,0.817,128.897,181267
126,0.7,0.139,-12.346,0.0607,0.902,0.185,84.485,206067
127,0.418,0.106,-22.507,0.0448,0.994,0.179,46.718,85267
19,0.512,0.462,-10.491,0.0408,0.83,0.121,112.05,185320
133,0.545,0.7,-6.961,0.0323,0.0982,0.1,83.506,148147
140,0.341,0.181,-12.073,0.0366,0.888,0.137,83.608,196254
144,0.469,0.196,-16.093,0.0571,0.882,0.0513,130.036,143733
145,0.357,0.668,-8.444,0.0479,0.362,0.727,139.986,267600
147,0.638,0.813,-3.849,0.0362,0.464,0.344,112.986,239587
149,0.602,0.553,-9.336,0.0328,0.108,0.0512,130.594,118840
150,0.619,0.771,-2.204,0.0601,0.0318,0.114,81.966,154747
152,0.542,0.37,-7.779,0.0257,0.318,0.108,84.796,219653
156,0.478,0.201,-16.768,0.0332,0.919,0.0854,136.471,135760
157,0.607,0.103,-14.405,0.0404,0.804,0.076,110.378,136427
159,0.512,0.339,-13.119,0.0498,0.727,0.0977,174.609,120693
160,0.648,0.938,-3.298,0.115,0.0339,0.0564,78.496,200467
161,0.566,0.246,-15.499,0.0276,0.813,0.195,101.529,165667
167,0.364,0.378,-7.381,0.0331,0.47,0.339,89.918,268960
175,0.634,0.645,-9.2,0.0376,0.292,0.246,93.047,231173
180,0.604,0.497,-6.676,0.0319,0.727,0.102,126.011,149307
181,0.598,0.68,-4.505,0.0331,0.06,0.324,134.002,228027
182,0.774,0.608,-6.264,0.128,0.128,0.0895,137.494,182521
184,0.643,0.939,-3.967,0.0463,0.104,0.881,104.999,255307
24,0.316,0.361,-10.381,0.0488,0.878,0.0797,74.952,245440
192,0.612,0.289,-11.568,0.0421,0.599,0.0561,183.18,177440
197,0.485,0.444,-6.232,0.195,0.373,0.0969,179.967,161013
28,0.559,0.334,-10.733,0.0376,0.87,0.114,122.079,315147
34,0.515,0.545,-9.277,0.0353,0.855,0.0921,88.856,260440
38,0.605,0.488,-8.322,0.0264,0.696,0.129,119.966,225880
39,0.537,0.537,-11.266,0.0617,0.819,0.142,107.895,275320
43,0.39,0.27,-10.673,0.0308,0.937,0.111,125.177,304107
45,0.546,0.73,-7.704,0.0417,0.66,0.0972,157.895,215920
53,0.604,0.517,-9.014,0.0347,0.768,0.123,127.967,275040
57,0.535,0.561,-11.609,0.0484,0.876,0.115,96.103,257773
70,0.689,0.704,-10.813,0.245,0.835,0.134,151.884,180653
74,0.39,0.724,-7.607,0.0889,0.162,0.393,165.945,216560
97,0.646,0.758,-7.75,0.0708,0.556,0.335,172.995,199787
126,0.589,0.727,-6.907,0.0866,0.239,0.164,152.058,242267
129,0.64,0.621,-8.269,0.0679,0.67,0.36,123.105,148707
139,0.786,0.61,-6.736,0.0558,0.379,0.0765,130.036,201093
147,0.636,0.647,-6.971,0.0381,0.247,0.113,158.073,176027
152,0.625,0.581,-7.1,0.0316,0.553,0.254,142.04,150853
17,0.688,0.881,-4.889,0.0474,0.0947,0.0804,123.013,191526
183,0.331,0.513,-15.392,0.632,0.972,0.882,133.971,37013
185,0.464,0.459,-8.736,0.0314,0.365,0.117,142.017,325413
1,0.613,0.581,-8.588,0.0424,0.537,0.25,130.033,239560
74,0.703,0.703,-4.672,0.133,0.605,0.12,76.017,183783
104,0.592,0.885,-4.944,0.0807,0.0505,0.0843,98.991,202357
138,0.49,0.694,-5.793,0.0618,0.0133,0.0946,170.903,216123
15,0.904,0.723,-5.224,0.26,0.0631,0.185,145.013,227478
29,0.763,0.597,-5.054,0.0416,0.158,0.111,126.054,139576
167,0.887,0.606,-6.572,0.324,0.000407,0.151,139.995,210699
86,0.672,0.642,-4.035,0.0313,0.0981,0.1,121.981,196453
18,0.547,0.605,-6.755,0.0415,0.42,0.125,121.953,254950
46,0.738,0.621,-7.313,0.0486,0.424,0.692,113.968,136839
9,0.607,0.829,-4.074,0.379,0.0103,0.107,96.172,295177
43,0.643,0.727,-5.506,0.0389,0.0439,0.123,90.019,162299
60,0.487,0.74,-4.973,0.0944,0.157,0.612,73.779,181688
180,0.668,0.798,-5.701,0.0334,0.00305,0.277,133.928,215280
35,0.721,0.745,-3.508,0.0366,0.151,0.372,90.988,192745
41,0.86,0.725,-6.7,0.249,0.0464,0.0994,145.001,162151
44,0.762,0.861,-4.075,0.0652,0.139,0.0956,133.037,213609
48,0.716,0.522,-6.834,0.0582,0.166,0.113,76.993,165199
53,0.693,0.549,-6.098,0.0577,0.505,0.324,139.988,221187
59,0.612,0.561,-6.054,0.0851,0.0601,0.145,191.911,163053
63,0.636,0.656,-5.542,0.0676,0.451,0.287,171.918,151506
66,0.43,0.412,-5.372,0.0281,0.2,0.324,90.872,157673
83,0.774,0.511,-8.914,0.0319,0.322,0.0672,94.736,227653
16,0.764,0.526,-7.355,0.212,0.0484,0.0718,114.91,222243
24,0.787,0.669,-4.333,0.0428,0.00782,0.123,104.994,202313
26,0.731,0.845,-5.352,0.132,0.0132,0.0782,101.085,239722
27,0.582,0.693,-5.048,0.0465,0.114,0.13,125.904,204800
151,0.58,0.908,-5.303,0.0341,0.000335,0.087,115.016,213672
171,0.764,0.523,-7.371,0.0406,0.777,0.352,118.671,199720
172,0.551,0.756,-4.948,0.0652,0.0511,0.0765,175.984,205733
63,0.807,0.606,-8.871,0.088,0.0946,0.119,92.988,227520
78,0.703,0.321,-13.135,0.884,0.864,0.908,114.822,179548
105,0.755,0.882,-1.957,0.0532,0.125,0.103,99.984,193555
82,0.779,0.705,-3.895,0.0344,0.369,0.124,101.022,178374
139,0.839,0.667,-3.961,0.031,0.322,0.244,124.889,171360
162,0.723,0.673,-7.636,0.137,0.0985,0.323,120.046,230389
88,0.88,0.483,-7.012,0.0505,0.0185,0.0607,124.009,342613
174,0.846,0.681,-7.091,0.174,0.0461,0.112,131.988,192965
36,0.791,0.682,-7.328,0.158,0.175,0.0926,98.031,166851
140,0.762,0.426,-6.865,0.113,0.0442,0.0858,167.827,151705
7,0.694,0.685,-6.535,0.133,0.224,0.124,158.831,196180
22,0.701,0.556,-7.42,0.0414,0.00886,0.106,152.045,201122
41,0.758,0.598,-5.695,0.0868,0.16,0.295,149.836,184905
188,0.574,0.512,-6.664,0.0503,0.234,0.0946,76.899,484147
192,0.848,0.708,-6.336,0.0366,0.153,0.0948,137.973,191869
24,0.819,0.626,-4.574,0.202,0.00748,0.167,143.01,195906
105,0.682,0.683,-6.444,0.0287,0.156,0.273,120.023,178000
44,0.654,0.63,-4.644,0.0259,0.153,0.111,89.991,167693
87,0.762,0.433,-8.937,0.187,0.143,0.118,122.074,203145
129,0.793,0.782,-3.945,0.0582,0.447,0.124,143.86,191945
9,0.728,0.431,-9.966,0.0622,0.749,0.0996,130.022,147800
95,0.752,0.658,-6.297,0.342,0.0421,0.0927,151.951,213520
86,0.727,0.626,-8.415,0.0726,0.0469,0.126,86.97,191406
74,0.66,0.787,-4.592,0.032,0.00257,0.323,142.018,217088
140,0.763,0.666,-3.316,0.194,0.153,0.301,90.086,185719
153,0.758,0.574,-7.833,0.217,0.216,0.144,144.081,274313
117,0.866,0.563,-6.964,0.108,0.185,0.0889,127.954,161668
20,0.411,0.522,-7.295,0.0981,0.519,0.398,88.332,239949
52,0.782,0.51,-5.724,0.0419,0.143,0.115,99.993,143375
124,0.448,0.824,-4.249,0.057,0.0739,0.113,119.965,213693
144,0.746,0.611,-7.034,0.101,0.454,0.133,149.967,172245
168,0.94,0.532,-5.998,0.358,0.12,0.0925,123.043,228796
157,0.808,0.97,-6.098,0.0506,0.0569,0.154,114.328,242293
22,0.695,0.343,-10.798,0.0432,0.0743,0.107,85.84,218902
25,0.719,0.607,-5.156,0.165,0.08,0.125,128.006,149900
53,0.316,0.63,-5.963,0.117,0.471,0.205,89.643,153294
32,0.691,0.765,-4.727,0.111,0.464,0.203,174.021,246000
102,0.498,0.235,-16.541,0.188,0.72,0.144,118.917,179080
162,0.928,0.341,-10.196,0.103,0.0614,0.162,129.966,170233
29,0.487,0.65,-5.195,0.0253,0.191,0.0933,151.964,232533
156,0.515,0.479,-7.458,0.0261,0.544,0.191,88.964,209274
92,0.838,0.819,-4.681,0.211,0.285,0.224,105.027,275893
5,0.456,0.285,-10.755,0.0979,0.814,0.307,104.89,210005
163,0.684,0.808,-2.737,0.061,0.0518,0.0858,173.905,174027
38,0.552,0.599,-5.75,0.0404,0.0703,0.0986,161.884,208457
31,0.499,0.462,-5.308,0.0312,0.801,0.0946,127.698,157710
42,0.772,0.506,-6.558,0.139,0.0814,0.182,127.894,200733
168,0.779,0.642,-6.321,0.116,0.0383,0.2,82.363,153147
49,0.752,0.716,-5.2,0.0325,0.254,0.243,117.007,206760
119,0.764,0.741,-3.617,0.101,0.239,0.107,170.081,198570
85,0.754,0.796,-3.743,0.139,0.062,0.204,168.045,233160
25,0.647,0.667,-5.563,0.304,0.231,0.133,172.08,193839
41,0.688,0.647,-7.258,0.19,0.00815,0.095,88.834,164580
